AÑO;MES;CLASE;DESCRIPCIÓN CLASE;CATEGORÍA;DESCRIPCIÓN CATEGORÍA;DEPARTAMENTO;UBIGEO;NÚMERO DE ESTABLECIMIENTO;NÚMERO DE HABITACIONES;NÚMERO DE PLAZAS-CAMA;TNOH EN EL MES(%);TNOC EN EL MES(%);PROM PERMANENCIA(DÍAS);PROM PERMANENCIA - NAC (DÍAS);PROM PERMANENCIA - EXT (DÍAS);TOTAL DE ARRIBOS EN EL MES;TOTAL DE ARRIBOS MES - NAC;TOTAL DE ARRIBOS MES - EXT;TOTAL PERNOCT MES;TOTAL PERNOCT MES - NAC (DÍAS);TOTAL PERNOCT MES - EXT (DÍAS);TOTAL EMPLEO EN EL MES
2021;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;AMAZONAS;010000;247;2293;3627;16,3;12,56;1,15;1,15;1,01;12254;12099;155;14122;13966;156;407
2021;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;ÁNCASH;020000;573;5573;9618;5,61;4,8;1,19;1,19;1;12034;12028;6;14318;14312;6;899
2021;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;APURÍMAC;030000;460;4233;6546;12,93;9,78;1,16;1,16;1,21;17051;16990;61;19837;19763;74;452
2021;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;AYACUCHO;050000;526;5251;8396;9,05;6,99;1,56;1,56;2,02;11623;11443;180;18183;17819;364;596
2021;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;CALLAO;070000;260;3767;6944;31,33;27,97;1,03;1,03;1,07;100613;99662;951;103186;102166;1019;951
2021;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;AMAZONAS;010000;247;2293;3627;16,3;12,56;1,15;1,15;1,01;12254;12099;155;14122;13966;156;407
2021;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;ÁNCASH;020000;573;5573;9618;5,61;4,8;1,19;1,19;1;12034;12028;6;14318;14312;6;899
2021;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;AYACUCHO;050000;526;5251;8396;9,05;6,99;1,56;1,56;2,02;11623;11443;180;18183;17819;364;596
2021;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;CALLAO;070000;260;3767;6944;31,33;27,97;1,03;1,03;1,07;100613;99662;951;103186;102166;1019;951
2021;01;01;HOTEL;01;1 ESTRELLA;AMAZONAS;010000;1;20;35;0;0;0;0;0;0;0;0;0;0;0;0
