AÑO;MES;CLASE;DESCRIPCIÓN CLASE;CATEGORÍA;DESCRIPCIÓN CATEGORÍA;DEPARTAMENTO;UBIGEO;NÚMERO DE ESTABLECIMIENTO;NÚMERO DE HABITACIONES;NÚMERO DE PLAZAS-CAMA;TNOH EN EL MES(%);TNOC EN EL MES(%);PROM PERMANENCIA(DÍAS);PROM PERMANENCIA - NAC (DÍAS);PROM PERMANENCIA - EXT (DÍAS);TOTAL DE ARRIBOS EN EL MES;TOTAL DE ARRIBOS MES - NAC;TOTAL DE ARRIBOS MES - EXT;TOTAL PERNOCT MES;TOTAL PERNOCT MES - NAC (DÍAS);TOTAL PERNOCT MES - EXT (DÍAS);TOTAL EMPLEO EN EL MES
2020;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;AMAZONAS;010000;251;2525;4049;22,73;16,22;1,12;1,11;1,19;18243;17655;588;20362;19662;700;430
2020;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;ÁNCASH;020000;660;6665;11533;23,64;17,71;1,29;1,28;1,59;48960;47405;1555;63335;60861;2474;1137
2020;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;APURÍMAC;030000;514;4773;7375;32,56;26,91;1,16;1,16;1,13;53214;52913;301;61532;61191;341;887
2020;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;CALLAO;070000;271;3980;7394;41,77;39,13;1,05;1,04;1,14;148005;134372;13633;155383;139836;15547;1261
2020;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;HUANCAVELICA;090000;201;2353;3639;17,53;14,8;1,13;1,13;0;14759;14759;0;16692;16692;0;396
2020;01;01;HOTEL;01;1 ESTRELLA;AMAZONAS;010000;1;20;43;50,48;23,48;1;1;1;313;312;1;313;312;1;6
2020;01;01;HOTEL;01;1 ESTRELLA;APURÍMAC;030000;2;80;115;21,49;16,55;1;1;1;590;587;3;590;587;3;9
2020;01;01;HOTEL;02;2 ESTRELLAS;AMAZONAS;010000;31;823;1324;26,48;22,52;1,43;1,42;2,27;6452;6364;88;9243;9043;200;134
2020;01;01;HOTEL;02;2 ESTRELLAS;APURÍMAC;030000;5;205;356;15,96;12,4;1,13;1,12;1,86;1215;1208;7;1369;1356;13;21
2020;01;01;HOTEL;02;2 ESTRELLAS;AYACUCHO;050000;9;295;512;25,78;19,74;1,69;1,7;1,28;1852;1798;54;3133;3064;69;52
2020;01;01;HOTEL;03;3 ESTRELLAS;AMAZONAS;010000;21;537;949;22,45;21,06;1,33;1,31;1,46;4668;4141;527;6196;5425;771;118
2020;01;01;HOTEL;03;3 ESTRELLAS;APURÍMAC;030000;3;100;170;25,58;21,76;2,05;2,31;1,1;560;438;122;1147;1013;134;20
2020;01;01;HOTEL;03;3 ESTRELLAS;CAJAMARCA;060000;54;1713;2974;16,88;14,21;1,63;1,64;1,6;8020;7634;386;13104;12485;619;379
2020;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;AREQUIPA;040000;1289;11437;19414;21,61;20,3;1,31;1,23;1,75;93525;80658;12867;122152;99572;22580;2157
2020;01;01;HOTEL;01;1 ESTRELLA;AREQUIPA;040000;5;176;283;19,26;12,82;2,01;2,03;1,31;560;544;16;1125;1104;21;27
2020;01;01;HOTEL;02;2 ESTRELLAS;AREQUIPA;040000;44;1261;2191;16,54;15,7;1,42;1,37;1,91;7509;6814;695;10664;9339;1325;208
2020;01;01;HOTEL;03;3 ESTRELLAS;AREQUIPA;040000;66;1981;3758;22,29;17,69;1,87;1,95;1,67;11050;7534;3516;20613;14724;5889;561
2020;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;AYACUCHO;050000;583;6034;9687;26,08;21,74;1,23;1,22;1,49;53212;52775;437;65299;64649;650;1097
2020;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;LAMBAYEQUE;140000;397;4171;6168;28,37;20,04;1,07;1,07;1,16;35943;35486;457;38327;37797;530;770
2020;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;AYACUCHO;050000;583;6034;9687;26,08;21,74;1,23;1,22;1,49;53212;52775;437;65299;64649;650;1097
2020;01;01;HOTEL;01;1 ESTRELLA;AYACUCHO;050000;8;203;370;14,67;11,51;1,69;1,69;1,82;780;763;17;1320;1289;31;32
