AÑO;MES;CLASE;DESCRIPCIÓN CLASE;CATEGORÍA;DESCRIPCIÓN CATEGORÍA;DEPARTAMENTO;UBIGEO;NÚMERO DE ESTABLECIMIENTO;NÚMERO DE HABITACIONES;NÚMERO DE PLAZAS-CAMA;TNOH EN EL MES(%);TNOC EN EL MES(%);PROM PERMANENCIA(DÍAS);PROM PERMANENCIA - NAC (DÍAS);PROM PERMANENCIA - EXT (DÍAS);TOTAL DE ARRIBOS EN EL MES;TOTAL DE ARRIBOS MES - NAC;TOTAL DE ARRIBOS MES - EXT;TOTAL PERNOCT MES;TOTAL PERNOCT MES - NAC (DÍAS);TOTAL PERNOCT MES - EXT (DÍAS);TOTAL EMPLEO EN EL MES
2023;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;AMAZONAS;010000;277;2746;4379;19,23;16,24;1,32;1,32;1,47;16703;16404;299;22040;21599;441;521
2023;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;ÁNCASH;020000;656;5879;10013;16,85;13,43;1,17;1,17;1,42;35564;34973;591;41691;40854;837;1073
2023;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;APURÍMAC;030000;489;4495;7015;11,86;8,69;1,13;1,13;1,36;16714;16650;64;18895;18808;87;458
2023;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;SAN MARTÍN;220000;802;8738;13668;25,05;21,47;1,35;1,35;1,47;67397;65674;1723;90955;88417;2538;1142
2023;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;AMAZONAS;010000;277;2746;4379;19,23;16,24;1,32;1,32;1,47;16703;16404;299;22040;21599;441;521
2023;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;ÁNCASH;020000;656;5879;10013;16,85;13,43;1,17;1,17;1,42;35564;34973;591;41691;40854;837;1073
2023;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;APURÍMAC;030000;489;4495;7015;11,86;8,69;1,13;1,13;1,36;16714;16650;64;18895;18808;87;458
2023;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;LIMA;150000;6697;53797;93106;23,67;20,94;1,13;1,13;1,23;2585852;2510457;75395;2925509;2832777;92732;36996
2023;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;SAN MARTÍN;220000;802;8738;13668;25,05;21,47;1,35;1,35;1,47;67397;65674;1723;90955;88417;2538;1142
2023;01;01;HOTEL;01;1 ESTRELLA;AMAZONAS;010000;1;30;50;24,95;20,65;1,33;1,33;0;240;240;0;320;320;0;4
