FECHA_CORTE;ANIO;MES;ID_CLASE;CLASE;ID_CATEGORIA;CATEGORIA;DEPARTAMENTO;ID_UBIGEO;NUMERO_ESTABLECIMIENTOS;NUMERO_HABITACIONES;NUMERO_PLAZAS_CAMA;PORCENTAJE_TNOH;PORCENTAJE_TNOC;PROMEDIO_PERMANENCIA;PROMEDIO_PERMANENCIA_NAC;PROMEDIO_PERMANENCIA_EXT;TOTAL_ARRIBOS;TOTAL_ARRIBOS_NAC;TOTAL_ARRIBOS_EXT;TOTAL_PERNOCT;TOTAL_PERNOCT_NAC;TOTAL_PERNOCT_EXT;TOTAL_EMPLEO
20260330;2024;05;14;RESORT;TT;TODAS CONSOLIDADAS;TUMBES;240000;2;430;1163;50.15;45.28;2.51;2.55;2.34;6501;5336;1165;16326;13598;2728;442
20260330;2024;05;16;ECOLODGE;13;ECOLODGE;AREQUIPA;040000;1;23;51;28.47;26.57;1.47;1.26;1.51;285;46;239;420;58;362;7
20260330;2024;05;16;ECOLODGE;TT;TODAS CONSOLIDADAS;AREQUIPA;040000;1;23;51;28.47;26.57;1.47;1.26;1.51;285;46;239;420;58;362;7
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;AMAZONAS;010000;301;2823;4454;10.87;8.71;1.26;1.26;1.36;9513;8987;526;12021;11307;714;521
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;ÁNCASH;020000;739;6449;10903;15.87;13.64;1.23;1.2;1.55;37516;34645;2871;46108;41671;4437;745
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;APURÍMAC;030000;507;4512;7069;17.09;12.16;1.16;1.16;1.67;22938;22709;229;26650;26267;383;431
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;AREQUIPA;040000;1274;10882;18442;18.78;15.9;1.51;1.48;1.58;60224;43364;16860;90897;64232;26665;1282
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;AYACUCHO;050000;605;5654;9161;10.67;12.19;1.34;1.33;1.61;25866;25491;375;34630;34027;603;685
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;CAJAMARCA;060000;739;6467;10308;17.42;13.64;1.25;1.24;1.53;34957;34685;272;43589;43173;416;718
20260330;2024;05;TT;TODAS CONSOLIDADAS;00;NO CATEGORIZADO;CALLAO;070000;272;3748;7017;40.78;38.16;1.02;1.01;1.37;141529;137765;3764;144653;139479;5174;1101
