AÑO;MES;CLASE;DESCRIPCIÓN CLASE;CATEGORÍA;DESCRIPCIÓN CATEGORÍA;DEPARTAMENTO;UBIGEO;NÚMERO DE ESTABLECIMIENTO;NÚMERO DE HABITACIONES;NÚMERO DE PLAZAS-CAMA;TNOH EN EL MES(%);TNOC EN EL MES(%);PROM PERMANENCIA(DÍAS);PROM PERMANENCIA - NAC (DÍAS);PROM PERMANENCIA - EXT (DÍAS);TOTAL DE ARRIBOS EN EL MES;TOTAL DE ARRIBOS MES - NAC;TOTAL DE ARRIBOS MES - EXT;TOTAL PERNOCT MES;TOTAL PERNOCT MES - NAC (DÍAS);TOTAL PERNOCT MES - EXT (DÍAS);TOTAL EMPLEO EN EL MES
2022;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;AMAZONAS;010000;264;2442;3962;17,98;13,89;1,12;1,12;1,21;15236;15012;224;17063;16793;270;460
2022;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;ÁNCASH;020000;602;5684;9832;15,88;16,36;1,12;1,12;1,13;44669;43098;1571;49874;48104;1770;998
2022;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;APURÍMAC;030000;485;4399;6762;15,47;12,06;1,14;1,14;1,19;22166;22035;131;25282;25126;156;458
2022;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;AREQUIPA;040000;1135;10106;17067;24,95;21,66;1,47;1,43;1,96;77745;71477;6268;114597;102286;12311;1928
2022;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;CAJAMARCA;060000;625;6086;9449;14,69;12,66;1,15;1,15;1;32306;32060;246;37076;36829;247;1080
2022;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;AMAZONAS;010000;264;2442;3962;17,98;13,89;1,12;1,12;1,21;15236;15012;224;17063;16793;270;460
2022;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;ÁNCASH;020000;602;5684;9832;15,88;16,36;1,12;1,12;1,13;44669;43098;1571;49874;48104;1770;998
2022;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;APURÍMAC;030000;485;4399;6762;15,47;12,06;1,14;1,14;1,19;22166;22035;131;25282;25126;156;458
2022;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;AYACUCHO;050000;537;5189;8232;13,5;10,54;1,22;1,22;1,11;22053;21933;120;26888;26755;133;573
2022;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;CAJAMARCA;060000;625;6086;9449;14,69;12,66;1,15;1,15;1;32306;32060;246;37076;36829;247;1080
2022;01;01;HOTEL;01;1 ESTRELLA;AMAZONAS;010000;1;20;42;17,26;8,22;1;1;0;107;107;0;107;107;0;6
2022;01;01;HOTEL;01;1 ESTRELLA;ÁNCASH;020000;13;382;595;14,03;14,37;1,26;1,26;0;2102;2102;0;2651;2651;0;53
2022;01;01;HOTEL;01;1 ESTRELLA;APURÍMAC;030000;2;80;115;21,33;16,41;1,07;1,07;0;546;546;0;585;585;0;10
2022;01;01;HOTEL;01;1 ESTRELLA;CAJAMARCA;060000;6;170;278;10,72;9,72;1,17;1,17;1;717;715;2;838;836;2;27
2022;01;01;HOTEL;02;2 ESTRELLAS;AMAZONAS;010000;30;789;1248;20,37;18,44;1,33;1,33;1,42;5372;5341;31;7134;7090;44;126
2022;01;01;HOTEL;02;2 ESTRELLAS;ÁNCASH;020000;44;1182;2145;21,12;15,46;1,31;1,31;1,39;7840;7776;64;10283;10194;89;189
2022;01;01;HOTEL;02;2 ESTRELLAS;APURÍMAC;030000;4;180;307;11,77;8,79;1,25;1,25;1;668;665;3;837;834;3;14
2022;01;01;HOTEL;02;2 ESTRELLAS;CAJAMARCA;060000;37;1027;1546;18,39;14,8;1,14;1,14;1,2;6194;6153;41;7092;7043;49;161
2022;01;01;HOTEL;02;2 ESTRELLAS;ICA;110000;49;1353;2346;21,83;19,47;1,48;1,49;1,1;9541;9474;67;14159;14085;74;229
2022;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;AYACUCHO;050000;537;5189;8232;13,5;10,54;1,22;1,22;1,11;22053;21933;120;26888;26755;133;573
2022;01;01;HOTEL;01;1 ESTRELLA;AYACUCHO;050000;7;178;309;13,75;13,14;2,11;2,11;2,33;596;593;3;1259;1252;7;29
2022;01;01;HOTEL;02;2 ESTRELLAS;AYACUCHO;050000;8;254;457;19,25;17,44;1,33;1,33;1,48;1858;1810;48;2471;2400;71;39
2022;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;CALLAO;070000;255;3604;6672;31,51;28,92;1,01;1,01;1,09;106329;105309;1020;107330;106214;1116;956
2022;01;01;HOTEL;01;1 ESTRELLA;CALLAO;070000;1;34;68;24,57;24,57;1,01;1;2;514;512;2;518;514;4;3
2022;01;01;HOTEL;02;2 ESTRELLAS;CALLAO;070000;2;60;107;35,05;28,4;1,01;1,01;1,07;931;890;41;942;898;44;7
2022;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;CUSCO;080000;1823;17659;31699;17,85;14,35;1,56;1,42;1,92;90352;64826;25526;140997;91919;49078;3357
2022;01;01;HOTEL;02;2 ESTRELLAS;CUSCO;080000;47;1225;2292;10,64;9,37;1,51;1,38;1,84;4406;3133;1273;6656;4309;2347;292
2022;01;00;NO CLASIFICADO;00;NO CATEGORIZADO;HUANCAVELICA;090000;190;2229;3441;15,5;12,69;1,08;1,08;0;12516;12516;0;13536;13536;0;270
2022;01;00;NO CLASIFICADO;TT;TODAS CONSOLIDADAS;HUANCAVELICA;090000;190;2229;3441;15,5;12,69;1,08;1,08;0;12516;12516;0;13536;13536;0;270
