AÑO;MES;CLASE;DESCRIPCIÓN CLASE;CATEGORÍA;DESCRIPCIÓN CATEGORÍA;DEPARTAMENTO;UBIGEO;NÚMERO DE ESTABLECIMIENTO;NÚMERO DE HABITACIONES;NÚMERO DE PLAZAS-CAMA;TNOH EN EL MES(%);TNOC EN EL MES(%);PROM PERMANENCIA(DÍAS);PROM PERMANENCIA - NAC (DÍAS);PROM PERMANENCIA - EXT (DÍAS);TOTAL DE ARRIBOS EN EL MES;TOTAL DE ARRIBOS MES - NAC;TOTAL DE ARRIBOS MES - EXT;TOTAL PERNOCT MES;TOTAL PERNOCT MES - NAC (DÍAS);TOTAL PERNOCT MES - EXT (DÍAS);TOTAL EMPLEO EN EL MES
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;AMAZONAS;010000;15;239;327;37,48;39,88;1;1;1;4029;4019;10;4043;4033;10;41
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;APURÍMAC;030000;4;94;131;34,56;30,39;1,04;1,04;1;1186;1179;7;1234;1227;7;16
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;AREQUIPA;040000;63;1045;1672;27,58;24,4;1,24;1,21;1,53;10200;9113;1087;12647;10985;1662;183
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;AYACUCHO;050000;10;266;458;21,82;21,38;1,92;1,91;2,57;1584;1577;7;3036;3018;18;34
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;CAJAMARCA;060000;28;570;964;20,62;18,96;1,56;1,56;1,55;3632;3570;62;5665;5569;96;92
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;CALLAO;070000;8;142;284;37,76;37,32;1,01;1;1,16;3244;3045;199;3286;3055;231;23
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;CUSCO;080000;37;624;1134;24,86;23,33;1,3;1,21;1,59;6289;4717;1572;8201;5704;2497;112
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;HUANCAVELICA;090000;1;21;34;44,09;27,42;1,06;1,06;0;272;272;0;289;289;0;3
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;HUÁNUCO;100000;23;489;753;38,51;31,55;1,06;1,06;0;6940;6940;0;7364;7364;0;84
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;ICA;110000;18;301;442;21,97;20,6;1,06;1,06;1;2672;2651;21;2823;2802;21;48
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;JUNÍN;120000;18;339;626;21,11;15,93;1,23;1,23;2;2513;2512;1;3091;3089;2;51
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;LA LIBERTAD;130000;36;510;894;28,81;25,05;1,25;1,24;1,45;5569;5410;159;6941;6710;231;97
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;LAMBAYEQUE;140000;26;428;640;21,07;17,79;1,15;1,14;1,34;3079;3021;58;3530;3452;78;76
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;LIMA;150000;55;1239;2388;28,21;28,15;1,1;1,1;1,33;20625;20141;484;22709;22063;645;222
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;LORETO;160000;4;70;104;34,47;28,72;1,56;1,51;1,91;592;512;80;926;773;153;18
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;MADRE DE DIOS;170000;4;108;163;51,82;46,59;1,08;1,08;1,3;2176;2136;40;2354;2302;52;17
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;MOQUEGUA;180000;9;130;218;24,57;17,37;1,03;1,02;1,22;1143;1088;55;1174;1107;67;23
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;PASCO;190000;15;245;400;18,53;14,99;1,21;1,21;1;1536;1529;7;1859;1852;7;40
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;PIURA;200000;5;122;191;25,52;17,92;1,44;1,44;1;739;731;8;1061;1053;8;15
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;PUNO;210000;23;509;909;15,96;13,04;1,04;1,04;1,04;3532;3377;155;3674;3513;161;56
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;SAN MARTÍN;220000;7;146;224;23,86;21,73;1,2;1,21;1,12;1259;1132;127;1509;1367;142;23
2019;07;TT;TODAS CONSOLIDADAS;01;1 ESTRELLA;TACNA;230000;14;258;480;22,12;15,58;1,39;1,34;1,52;1666;1207;459;2318;1622;696;43
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;AMAZONAS;010000;75;1584;2505;30,76;24,08;1,12;1,1;1,88;16662;16101;561;18702;17650;1052;234
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;ÁNCASH;020000;152;2992;5346;26,78;24,97;1,17;1,16;1,58;35356;34840;516;41381;40566;815;496
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;APURÍMAC;030000;12;404;651;37,51;29,45;1,2;1,19;1,75;4972;4936;36;5943;5880;63;52
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;AREQUIPA;040000;169;3237;5776;23,33;20,3;1,32;1,31;1,41;27574;24677;2897;36349;32258;4091;578
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;AYACUCHO;050000;11;319;540;30,21;28,07;1,49;1,5;1,33;3146;3064;82;4699;4590;109;53
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;CAJAMARCA;060000;148;3137;5212;22,28;17,69;1,27;1,26;1,43;22590;22235;355;28589;28080;509;491
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;CALLAO;070000;6;176;338;37,01;33,6;1,05;1,03;1,36;3360;3189;171;3521;3289;232;32
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;CUSCO;080000;104;2166;4020;36,78;33,27;1,54;1,54;1,54;26970;9054;17916;41457;13934;27523;465
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;HUANCAVELICA;090000;3;52;87;34,8;34,41;1,66;1,67;1,54;558;532;26;928;888;40;11
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;HUÁNUCO;100000;56;1444;2267;31,4;26,59;1,18;1,17;1,28;15905;15789;116;18689;18541;148;251
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;ICA;110000;120;2427;4337;28,75;22,66;1,15;1,16;1,09;26434;25228;1206;30459;29140;1319;421
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;JUNÍN;120000;54;1277;2334;25,94;22,55;1,44;1,39;4,19;11366;11175;191;16318;15517;801;226
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;LA LIBERTAD;130000;176;3102;5540;29,61;26,34;1,22;1,19;3,15;36952;36286;666;45228;43132;2096;579
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;LAMBAYEQUE;140000;201;3893;5856;21,71;18,42;1,17;1,16;1,68;28619;28063;556;33441;32507;934;719
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;LIMA;150000;212;6835;12550;38,77;34,04;1,25;1,18;2,09;132434;122414;10020;165108;144165;20943;1640
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;LORETO;160000;14;321;528;21,76;25,09;1,54;1,54;1,54;2665;2065;600;4106;3181;925;58
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;MADRE DE DIOS;170000;6;223;415;21,12;15,34;1,72;1,91;1,15;1147;860;287;1974;1645;329;36
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;MOQUEGUA;180000;33;546;959;26,95;19,09;1,54;1,55;1,44;3685;3313;372;5675;5139;536;118
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;PASCO;190000;14;256;464;25,21;18,9;1,38;1,36;3,94;1966;1948;18;2718;2647;71;38
2019;07;TT;TODAS CONSOLIDADAS;02;2 ESTRELLAS;PUNO;210000;63;1197;2195;18,11;14,39;1,44;1,44;1,43;6796;5755;1041;9794;8301;1493;241
